"run","KPI","pooled","separate","difference"
1,"Avg_Waiting_room_delay",0.0247231137264159,0.0518730667447149,-0.027149953018299
1,"Avg_Access_time_days",1.13799283154122,2.92293906810036,-1.78494623655914
1,"Fraction_overtime",0.0017921146953405,0.00537634408602151,-0.003584229390681
1,"Avg_Overtime_amount",4.33644723983012e-05,0.00277664220985875,-0.00273327773746045
2,"Avg_Waiting_room_delay",0.0454984192695274,0.0587260260634032,-0.0132276067938759
2,"Avg_Access_time_days",1.05996472663139,1.98236331569665,-0.922398589065256
2,"Fraction_overtime",0.00352733686067019,0.00352733686067019,0
2,"Avg_Overtime_amount",0.00106091506097568,0.00041132725817366,0.000649587802802023
3,"Avg_Waiting_room_delay",0.0480389529111453,0.0570948834276845,-0.0090559305165392
3,"Avg_Access_time_days",1.22586520947177,3.00910746812386,-1.78324225865209
3,"Fraction_overtime",0.00182149362477231,0.00364298724954463,-0.00182149362477231
3,"Avg_Overtime_amount",0.000260182420785822,0.000387531640988382,-0.00012734922020256
4,"Avg_Waiting_room_delay",0.0345072922351817,0.0568459478680551,-0.0223386556328734
4,"Avg_Access_time_days",1.0754039497307,2.42190305206463,-1.34649910233393
4,"Fraction_overtime",0.00179533213644524,0.00359066427289048,-0.00179533213644524
4,"Avg_Overtime_amount",0.00100899515388062,0.00127571783050498,-0.000266722676624358
5,"Avg_Waiting_room_delay",0.0386911889535185,0.0603343802096949,-0.0216431912561764
5,"Avg_Access_time_days",1.15925925925926,2.56481481481481,-1.40555555555556
5,"Fraction_overtime",0,0.00740740740740741,-0.00740740740740741
5,"Avg_Overtime_amount",0,0.00206285375063596,-0.00206285375063596
6,"Avg_Waiting_room_delay",0.0456468332017229,0.097278922026184,-0.051632088824461
6,"Avg_Access_time_days",1.06410256410256,2.47252747252747,-1.40842490842491
6,"Fraction_overtime",0,0.00732600732600733,-0.00732600732600733
6,"Avg_Overtime_amount",0,0.00386086711282362,-0.00386086711282362
7,"Avg_Waiting_room_delay",0.0374597626410427,0.0506037454244859,-0.0131439827834432
7,"Avg_Access_time_days",1.14007092198582,2.06560283687943,-0.925531914893617
7,"Fraction_overtime",0.00709219858156028,0,0.00709219858156028
7,"Avg_Overtime_amount",0.0017758397288672,0,0.0017758397288672
8,"Avg_Waiting_room_delay",0.0391974367870854,0.0570049083605305,-0.0178074715734451
8,"Avg_Access_time_days",1.0729537366548,1.69395017793594,-0.620996441281139
8,"Fraction_overtime",0.00355871886120996,0,0.00355871886120996
8,"Avg_Overtime_amount",0.000562588090744359,0,0.000562588090744359
9,"Avg_Waiting_room_delay",0.0405607914800916,0.0567695080313184,-0.0162087165512268
9,"Avg_Access_time_days",1.09297912713472,2.17647058823529,-1.08349146110057
9,"Fraction_overtime",0.00189753320683112,0.00189753320683112,0
9,"Avg_Overtime_amount",0.00072321610601951,0.0010033734236106,-0.000280157317591095
10,"Avg_Waiting_room_delay",0.0586797890963964,0.05699083199746,0.00168895709893639
10,"Avg_Access_time_days",1.12653778558875,2.07381370826011,-0.947275922671353
10,"Fraction_overtime",0.00527240773286467,0.00527240773286467,0
10,"Avg_Overtime_amount",0.00217258584601863,0.0011822193963696,0.000990366449649029
11,"Avg_Waiting_room_delay",0.0394459574766403,0.0530144483497458,-0.0135684908731055
11,"Avg_Access_time_days",1.11795774647887,2.77112676056338,-1.65316901408451
11,"Fraction_overtime",0.00704225352112676,0.00704225352112676,0
11,"Avg_Overtime_amount",0.00101462243950142,0.00295191268787639,-0.00193729024837497
12,"Avg_Waiting_room_delay",0.0289334583421353,0.0562435531635531,-0.0273100948214178
12,"Avg_Access_time_days",1.1594982078853,3.18279569892473,-2.02329749103943
12,"Fraction_overtime",0.0017921146953405,0.003584229390681,-0.0017921146953405
12,"Avg_Overtime_amount",9.52043779025627e-05,0.00087383704880931,-0.000778632670906747
13,"Avg_Waiting_room_delay",0.0399287672752278,0.0588854567113655,-0.0189566894361377
13,"Avg_Access_time_days",1.10070671378092,2.37279151943463,-1.27208480565371
13,"Fraction_overtime",0,0.00176678445229682,-0.00176678445229682
13,"Avg_Overtime_amount",0,0.000873057209526307,-0.000873057209526307
14,"Avg_Waiting_room_delay",0.03836076959104,0.0645679463505137,-0.0262071767594737
14,"Avg_Access_time_days",1.20987654320988,2.52028218694885,-1.31040564373898
14,"Fraction_overtime",0,0.00352733686067019,-0.00352733686067019
14,"Avg_Overtime_amount",0,0.00222425386213747,-0.00222425386213747
